Question,Answer,Source,Question_Swahili,Answer_Swahili,Question_Sheng,Answer_Sheng,Cleaned_Question,Cleaned_Answer
Why is my returned product re-shipped?,"This may have happened, if the item you have returned is used, damaged or original tags or MRP tags are missing. In the event that you fail to accept the receipt of the re-shipped item, you shall continue to be not eligible for a refund, and Myntra assumes no liability with respect to the return or refund for the said re-shipped item. For more details, please call our customer care.",https://www.myntra.com/faqs,Kwa nini bidhaa yangu iliyorejeshwa inasafirishwa tena?,"Hii inaweza kuwa ilifanyika, ikiwa kitu ambacho umerudisha kinatumika, kuharibiwa au vitambulisho vya asili au vitambulisho vya MRP havipo.Katika tukio ambalo utashindwa kukubali kupokea bidhaa iliyosafirishwa tena, utaendelea kuwa haifai malipo, na Myntra haichukui dhima yoyote kuhusu kurudi au kurudishiwa pesa kwa bidhaa iliyosafirishwa tena.Kwa maelezo zaidi, tafadhali piga huduma ya wateja wetu.",Kwa nini bidhaa yangu iliyorejeshwa inasafirishwa tena?,"Hii inaweza kuwa ilifanyika, ikiwa kitu ambacho umerudisha kinatumika, kuharibiwa au vitambulisho vya asili au vitambulisho vya MRP havipo.Katika tukio ambalo utashindwa kukubali kupokea bidhaa iliyosafirishwa tena, utaendelea kuwa haifai malipo, na Myntra haichukui dhima yoyote kuhusu kurudi au kurudishiwa doe kwa bidhaa iliyosafirishwa tena.Kwa maelezo zaidi, tafadhali piga huduma ya wateja wetu.",returned product reshipped,may happened item returned used damaged original tag mrp tag missing event fail accept receipt reshipped item shall continue eligible refund myntra assumes liability respect return refund said reshipped item detail please call customer care
How do I create an account on Myntra?,"You can create your account on Myntra by entering and verifying your mobile number. Click on ""Create New Account"" after that and fill up the form to create your Myntra account.",https://www.myntra.com/faqs,Je! Ninaundaje akaunti kwenye myntra?,"Unaweza kuunda akaunti yako kwenye Myntra kwa kuingia na kuthibitisha nambari yako ya rununu.Bonyeza kwenye ""Unda Akaunti Mpya"" baada ya hapo na ujaze fomu ili kuunda akaunti yako ya Myntra.",Je! Ninaundaje akaunti kwenye myntra?,"Unaweza kuunda akaunti yako kwenye Myntra kwa kuingia na kuthibitisha nambari yako ya rununu.Bonyeza kwenye ""Unda Akaunti Mpya"" baada ya hapo na ujaze fomu ili kuunda akaunti yako ya Myntra.",create account myntra,create account myntra entering verifying mobile number click create new account fill form create myntra account
"How do I login on Myntra? I used to login with email, Google/Facebook login.","For older users of Myntra who used to login with email/Google/Facebook, enter your mobile number and OTP, then choose your method of login under ""Already have an account?"". Once you have entered the details, you will be logged in to your account. Next time onwards, you can use your mobile and OTP for easy login.",https://www.myntra.com/faqs,"Je! Ninaingiaje kwenye myntra?Nilikuwa nikiingia na barua pepe, Google/Facebook kuingia.","Kwa watumiaji wakubwa wa Myntra ambao walikuwa wakiingia na barua pepe/Google/Facebook, ingiza nambari yako ya rununu na OTP, kisha uchague njia yako ya kuingia chini ya ""Tayari uwe na akaunti?"".Mara tu ukiingiza maelezo, utaingia kwenye akaunti yako.Wakati mwingine kuendelea, unaweza kutumia simu yako ya rununu na OTP kwa kuingia rahisi.","Je! Ninaingiaje kwenye myntra?Nilikuwa nikiingia na barua pepe, Google/Facebook kuingia.","Kwa watumiaji wakubwa wa Myntra ambao walikuwa wakiingia na barua pepe/Google/Facebook, ingiza nambari yako ya rununu na OTP, kisha uchague njia yako ya kuingia chini ya ""Tayari uwe na akaunti?"".Mara tu ukiingiza maelezo, utaingia kwenye akaunti yako.Wakati mwingine kuendelea, unaeza kutumia simu yako ya rununu na OTP kwa kuingia rahisi.",login myntra used login email googlefacebook login,older user myntra used login emailgooglefacebook enter mobile number otp choose method login already account entered detail logged account next time onwards use mobile otp easy login
Why am I asked for password after entering OTP while trying to login?,Myntra's security policy sometimes requires you to enter your password if you have not logged in with OTP for a very long time. This is done to ensure that no one else can access your account after you have discarded your mobile number and it is assigned to someone else as per government policy.,https://www.myntra.com/faqs,Kwa nini ninaulizwa nywila baada ya kuingia OTP wakati wa kujaribu kuingia?,Sera ya usalama ya Myntra wakati mwingine inakuhitaji uingie nywila yako ikiwa haujaingia na OTP kwa muda mrefu sana.Hii inafanywa ili kuhakikisha kuwa hakuna mtu mwingine anayeweza kupata akaunti yako baada ya kutupa nambari yako ya rununu na imepewa mtu mwingine kama kwa sera ya serikali.,Kwa nini ninaulizwa nywila baada ya kuingia OTP wakati wa kujaribu kuingia?,Sera ya usalama ya Myntra wakati mwingine inakuhitaji uingie nywila yako ikiwa haujaingia na OTP kwa muda mrefu sana.Hii inafanywa ili kuhakikisha kuwa hakuna mtu mwingine anayeweza kupata akaunti yako baada ya kutupa nambari yako ya rununu na imepewa mtu mwingine kama kwa sera ya serikali.,asked password entering otp trying login,myntras security policy sometimes requires enter password logged otp long time done ensure one else access account discarded mobile number assigned someone else per government policy
Can I still login with password on Myntra?,"You can login with mobile number and password. This works if your mobile number is verified on your account. To login with mobile and password, enter your mobile number and ""Continue"". On the OTP page, you will find the option to login with password. However, it is highly recommended that you login with OTP for convenience and security.",https://www.myntra.com/faqs,Je! Bado ninaweza kuingia na nywila kwenye myntra?,"Unaweza kuingia na nambari ya rununu na nywila.Hii inafanya kazi ikiwa nambari yako ya rununu imethibitishwa kwenye akaunti yako.Ili kuingia na simu ya rununu na nywila, ingiza nambari yako ya rununu na ""Endelea"".Kwenye ukurasa wa OTP, utapata chaguo la kuingia na nywila.Walakini, inashauriwa sana kuingia na OTP kwa urahisi na usalama.",Je! Bado ninaweza kuingia na nywila kwenye myntra?,"Unaweza kuingia na nambari ya rununu na nywila.Hii inafanya kazi ikiwa nambari yako ya rununu imethibitishwa kwenye akaunti yako.Ili kuingia na simu ya rununu na nywila, ingiza nambari yako ya rununu na ""Endelea"".Kwenye ukurasa wa OTP, utapata chaguo la kuingia na nywila.Walakini, inashauriwa sana kuingia na OTP kwa urahisi na usalama.",still login password myntra,login mobile number password work mobile number verified account login mobile password enter mobile number continue otp page find option login password however highly recommended login otp convenience security
What if I don't receive an OTP due to poor network connectivity?,"If you are not receiving an OTP use the ""Login with password"" option to login to your Myntra account.",https://www.myntra.com/faqs,Je! Ikiwa sitapokea OTP kwa sababu ya kuunganishwa vibaya kwa mtandao?,"Ikiwa hautapokea OTP tumia chaguo la ""kuingia na nywila"" kuingia kwenye akaunti yako ya Myntra.",Je! Ikiwa sitapokea OTP kwa sababu ya kuunganishwa vibaya kwa mtandao?,"Ikiwa hautapokea OTP tumia chaguo la ""kuingia na nywila"" kuingia kwenye akaunti yako ya Myntra.",dont receive otp due poor network connectivity,receiving otp use login password option login myntra account
What is an alternate mobile number? Why does Myntra ask for it?,"Alternate Mobile Number is another mobile number that can be used to gain access to your account if you loose your login mobile number, for example if you lose your mobile or you just decided to change your number. In such a case, you can enter your login mobile number and alternate mobile number, the OTP will be sent to the alternate mobile number and you will be able to login to your account and change your password and your login mobile number.",https://www.myntra.com/faqs,Nambari mbadala ya rununu ni nini?Kwa nini myntra anaiuliza?,"Nambari mbadala ya rununu ni nambari nyingine ya rununu ambayo inaweza kutumika kupata akaunti yako ikiwa utafungua nambari yako ya simu ya kuingia, kwa mfano ikiwa utapoteza simu yako au umeamua kubadilisha nambari yako.Katika hali kama hiyo, unaweza kuingiza nambari yako ya rununu ya kuingia na nambari mbadala ya rununu, OTP itatumwa kwa nambari mbadala ya rununu na utaweza kuingia kwenye akaunti yako na kubadilisha nywila yako na nambari yako ya simu ya kuingia.",Nambari mbadala ya rununu ni nini?Kwa nini myntra anaiuliza?,"Nambari mbadala ya rununu ni nambari nyingine ya rununu ambayo inaweza kutumika kupata akaunti yako ikiwa utafungua nambari yako ya simu ya kuingia, kwa mfano ikiwa utapoteza simu yako au umeamua kubadilisha nambari yako.Katika hali kama hiyo, unaeza kuingiza nambari yako ya rununu ya kuingia na nambari mbadala ya rununu, OTP itatumwa kwa nambari mbadala ya rununu na utaweza kuingia kwenye akaunti yako na kubadilisha nywila yako na nambari yako ya simu ya kuingia.",alternate mobile number myntra ask,alternate mobile number another mobile number used gain access account loose login mobile number example lose mobile decided change number case enter login mobile number alternate mobile number otp sent alternate mobile number able login account change password login mobile number
Do I need to provide email to create an account on Myntra?,"Providing an email is not mandatory to create an account on Myntra. However, we still recommend adding your email to your account as it will allow you to easily reset your password if you need to.",https://www.myntra.com/faqs,Je! Ninahitaji kutoa barua pepe kuunda akaunti kwenye myntra?,"Kutoa barua pepe sio lazima kuunda akaunti kwenye Myntra.Walakini, bado tunapendekeza kuongeza barua pepe yako kwenye akaunti yako kwani itakuruhusu kuweka upya nywila yako kwa urahisi ikiwa unahitaji.",Je! Ninahitaji kutoa barua pepe kuunda akaunti kwenye myntra?,"Kutoa barua pepe sio lazima kuunda akaunti kwenye Myntra.Walakini, bado tunapendekeza kuongeza barua pepe yako kwenye akaunti yako kwani itakuruhusu kuweka upya nywila yako kwa urahisi ikiwa unahitaji.",need provide email create account myntra,providing email mandatory create account myntra however still recommend adding email account allow easily reset password need
I have given my mobile number in my last order? Can I use that number to log in to Myntra?,"Mobile numbers given along with shipping address cannot be used to log in on Myntra. To use a number for login on Myntra, you need to add your number to your profile and verify it with OTP. This can be done under profile section in Account.",https://www.myntra.com/faqs,Nimetoa nambari yangu ya rununu kwa mpangilio wangu wa mwisho?Je! Ninaweza kutumia nambari hiyo kuingia Myntra?,"Nambari za rununu zilizopewa pamoja na anwani ya usafirishaji haziwezi kutumiwa kuingia kwenye Myntra.Ili kutumia nambari ya kuingia kwenye Myntra, unahitaji kuongeza nambari yako kwenye wasifu wako na uhakikishe na OTP.Hii inaweza kufanywa chini ya sehemu ya wasifu katika akaunti.",Nimetoa nambari yangu ya rununu kwa mpangilio wangu wa mwisho?Je! Ninaweza kutumia nambari hiyo kuingia Myntra?,"Nambari za rununu zilizopewa pamoja na anwani ya usafirishaji haziwezi kutumiwa kuingia kwenye Myntra.Ili kutumia nambari ya kuingia kwenye Myntra, unahitaji kuongeza nambari yako kwenye wasifu wako na uhakikishe na OTP.Hii inaweza kufanywa chini ya sehemu ya wasifu katika akaunti.",given mobile number last order use number log myntra,mobile number given along shipping address used log myntra use number login myntra need add number profile verify otp done profile section account
What is account recovery on Myntra?,Account recovery is the process of getting access to your account in case you have changed or lost your mobile number and did not change the mobile number on your Myntra account before you lost that number. This can be done by validating a saved credit/debit card expiry date (Myntra does not charge anything for this) or by entering an OTP sent to your alternate mobile number.,https://www.myntra.com/faqs,Je! Urejeshaji wa akaunti ni nini kwenye myntra?,Kupona akaunti ni mchakato wa kupata akaunti yako ikiwa umebadilika au umepoteza nambari yako ya rununu na haukubadilisha nambari ya rununu kwenye akaunti yako ya Myntra kabla ya kupoteza nambari hiyo.Hii inaweza kufanywa kwa kudhibitisha tarehe ya kumalizika kwa kadi ya mkopo/deni (Myntra haitoi chochote kwa hii) au kwa kuingiza OTP iliyotumwa kwa nambari yako mbadala ya rununu.,Je! Urejeshaji wa akaunti ni nini kwenye myntra?,Kupona akaunti ni mchakato wa kupata akaunti yako ikiwa umebadilika au umepoteza nambari yako ya rununu na haukubadilisha nambari ya rununu kwenye akaunti yako ya Myntra kabla ya kupoteza nambari hiyo.Hii inaweza kufanywa kwa kudhibitisha tarehe ya kumalizika kwa kadi ya mkopo/deni (Myntra haitoi chochote kwa hii) au kwa kuingiza OTP iliyotumwa kwa nambari yako mbadala ya rununu.,account recovery myntra,account recovery process getting access account case changed lost mobile number change mobile number myntra account lost number done validating saved creditdebit card expiry date myntra charge anything entering otp sent alternate mobile number
Why am I asked for my credit card details to access my account?,"In case you do not have your mobile number with you anymore, Myntra can use a saved credit/debit card detail from your account, to match for expiry date and give you the option to change your password and update your new mobile number in your account. There is no charge made to the card in this process. Alternatively, you can log in to your account with password if you remember it and change the login mobile number from your profile.",https://www.myntra.com/faqs,Kwa nini ninaulizwa maelezo yangu ya kadi ya mkopo kupata akaunti yangu?,"Ikiwa hauna nambari yako ya rununu na wewe tena, Myntra inaweza kutumia maelezo ya kadi ya mkopo/deni kutoka kwa akaunti yako, kulinganisha kwa tarehe ya kumalizika na kukupa chaguo la kubadilisha nywila yako na kusasisha nambari yako mpya ya rununu kwenye akaunti yako.Hakuna malipo yaliyotolewa kwa kadi katika mchakato huu.Vinginevyo, unaweza kuingia kwenye akaunti yako na nywila ikiwa unakumbuka na ubadilishe nambari ya simu ya kuingia kutoka kwa wasifu wako.",Kwa nini ninaulizwa maelezo yangu ya kadi ya mkopo kupata akaunti yangu?,"Ikiwa hauna nambari yako ya rununu na wewe tena, Myntra inaweza kutumia maelezo ya kadi ya mkopo/deni kutoka kwa akaunti yako, kulinganisha kwa tarehe ya kumalizika na kukupa chaguo la kubadilisha nywila yako na kusasisha nambari yako mpya ya rununu kwenye akaunti yako.Hakuna malipo yaliyotolewa kwa kadi katika mchakato huu.Vinginevyo, unaeza kuingia kwenye akaunti yako na nywila ikiwa unakumbuka na ubadilishe nambari ya simu ya kuingia kutoka kwa wasifu wako.",asked credit card detail access account,case mobile number anymore myntra use saved creditdebit card detail account match expiry date give option change password update new mobile number account charge made card process alternatively log account password remember change login mobile number profile
What happens if my mobile number is given to someone else by the telecom operator. Is my Myntra account still safe?,"Yes, your Myntra account is safe. The other person cannot access your account as he will need to enter your account password. Myntra systems can smartly detect such SIM handovers and ask the user to enter password additionally in such cases. The new user, however, will be able to create a new account with that number.",https://www.myntra.com/faqs,Kinachotokea ikiwa nambari yangu ya rununu imepewa mtu mwingine na mwendeshaji wa simu.Je! Akaunti yangu ya myntra bado iko salama?,"Ndio, akaunti yako ya myntra iko salama.Mtu mwingine hawezi kufikia akaunti yako kwani atahitaji kuingiza nywila ya akaunti yako.Mifumo ya Myntra inaweza kugundua kwa busara vifaa vya SIM na kumuuliza mtumiaji aingie nywila katika hali kama hizi.Mtumiaji mpya, hata hivyo, ataweza kuunda akaunti mpya na nambari hiyo.",Kinachotokea ikiwa nambari yangu ya rununu imepewa mtu mwingine na mwendeshaji wa simu.Je! Akaunti yangu ya myntra bado iko salama?,"Ndio, akaunti yako ya myntra iko salama.Mtu mwingine hawezi kufikia akaunti yako kwani atahitaji kuingiza nywila ya akaunti yako.Mifumo ya Myntra inaweza kugundua kwa busara vifaa vya SIM na kumuuliza mtumiaji aingie nywila katika hali kama hizi.Mtumiaji mpya, hata hivyo, ataweza kuunda akaunti mpya na nambari hiyo.",happens mobile number given someone else telecom operator myntra account still safe,yes myntra account safe person access account need enter account password myntra system smartly detect sim handover ask user enter password additionally case new user however able create new account number
How can i change my mobile number that I use to login on Myntra?,You can log in to your account and change it from your Profile > Edit Profile.,https://www.myntra.com/faqs,Ninawezaje kubadilisha nambari yangu ya rununu ambayo ninatumia kuingia kwenye myntra?,Unaweza kuingia kwenye akaunti yako na kuibadilisha kutoka kwa wasifu wako> Hariri Profaili.,Ninawezaje kubadilisha nambari yangu ya rununu ambayo ninatumia kuingia kwenye myntra?,Unaweza kuingia kwenye akaunti yako na kuibadilisha kutoka kwa wasifu wako> Hariri Profaili.,change mobile number use login myntra,log account change profile edit profile
I do not have my old mobile number? How can I log into my account and change mobile number?,"You can update your account details by going to Account Recovery. For that, you will need to enter your old mobile number and go to the OTP page. You will find an option ""Get Help"" there to recover your account.",https://www.myntra.com/faqs,Sina nambari yangu ya zamani ya rununu?Ninawezaje kuingia kwenye akaunti yangu na kubadilisha nambari ya rununu?,"Unaweza kusasisha maelezo ya akaunti yako kwa kwenda kupona akaunti.Kwa hiyo, utahitaji kuingiza nambari yako ya zamani ya rununu na kwenda kwenye ukurasa wa OTP.Utapata chaguo ""Pata Msaada"" hapo ili kupata akaunti yako.",Sina nambari yangu ya zamani ya rununu?Ninawezaje kuingia kwenye akaunti yangu na kubadilisha nambari ya rununu?,"Unaweza kusasisha maelezo ya akaunti yako kwa kwenda kupona akaunti.Kwa hiyo, utahitaji kuingiza nambari yako ya zamani ya rununu na kwenda kwenye ukurasa wa OTP.Utapata chaguo ""Pata Mtimeda"" hapo ili kupata akaunti yako.",old mobile number log account change mobile number,update account detail going account recovery need enter old mobile number go otp page find option get help recover account
Does Myntra read my SMSes?,Myntra can only read OTP SMSes that are sent by Myntra. This is in accordance with guidelines provided by Google and Apple in line with user privacy policies.,https://www.myntra.com/faqs,Je! Myntra anasoma SMSE yangu?,Myntra inaweza kusoma tu SMS za OTP ambazo zimetumwa na Myntra.Hii ni kwa mujibu wa miongozo iliyotolewa na Google na Apple kulingana na sera za faragha za watumiaji.,Je! Myntra anasoma SMSE yangu?,Myntra inaweza kusoma tu SMS za OTP ambazo zimetumwa na Myntra.Hii ni kwa mujibu wa miongozo iliyotolewa na Google na Apple kulingana na sera za faragha za watumiaji.,myntra read smses,myntra read otp smses sent myntra accordance guideline provided google apple line user privacy policy
Why is my account locked?,Myntra locks accounts for a specified time period or permanently in case there are too many failed login attempts to your account. This is for the security of your account. You should be able to gain access back to your account by resetting your password or call customer care for further help.,https://www.myntra.com/faqs,Kwa nini akaunti yangu imefungwa?,Myntra hufungia akaunti kwa kipindi maalum cha muda au kabisa ikiwa kuna majaribio mengi ya kuingia kwa akaunti yako.Hii ni kwa usalama wa akaunti yako.Unapaswa kupata ufikiaji wa akaunti yako kwa kuweka upya nywila yako au piga huduma ya wateja kwa msaada zaidi.,Kwa nini akaunti yangu imefungwa?,Myntra hufungia akaunti kwa kipindi maalum cha muda au kabisa ikiwa kuna majaribio mengi ya kuingia kwa akaunti yako.Hii ni kwa usalama wa akaunti yako.Unapaswa kupata ufikiaji wa akaunti yako kwa kuweka upya nywila yako au piga huduma ya wateja kwa mtimeda zaidi.,account locked,myntra lock account specified time period permanently case many failed login attempt account security account able gain access back account resetting password call customer care help
How can I pay for my order at Myntra?,"We support the following payment options at Myntra:
Cash On Delivery (available in selected pin codes)
Credit Card
Debit Card
Net banking
Gift Card
Wallet",https://www.myntra.com/faqs,Ninawezaje kulipia agizo langu huko Myntra?,"Tunaunga mkono chaguzi zifuatazo za malipo huko Myntra:
Fedha kwenye Uwasilishaji (Inapatikana katika Nambari za Pini zilizochaguliwa)
Kadi ya mkopo
Kadi ya malipo
Benki ya wavu
Kadi ya zawadi
Mkoba",Ninawezaje kulipia agizo langu huko Myntra?,"Tunaunga mkono chaguzi zifuatazo za malipo huko Myntra:
Fedha kwenye Uwasilishaji (Inapatikana katika Nambari za Pini zilizochaguliwa)
Kadi ya mkopo
Kadi ya malipo
Benki ya wavu
Kadi ya zawadi
Mkoba",pay order myntra,support following payment option myntra cash delivery available selected pin code credit card debit card net banking gift card wallet
How does the COD (Cash on Delivery) payment option work?,"Myntra's Cash on Delivery option allows you to pay order value at the time of delivery for all orders between Rs. 299 and Rs. 49999. Your existing limits will be revised once, there is a delivery or order rejected against your account, from the new limit implementation logic, if required.To pay for any order using Cash on Delivery (COD) mode of payment, please select the 'Cash On Delivery' option on the payment page. Cash on Delivery option is available only in selected pincodes.However the COD limit may differ from customer to customer depending upon the order rejection percentage from a particular customers registered email id. For avoidance of doubt, 'Order Rejection Percentage' shall mean any undelivered orders which are returned from the address provided by the customer even, after three successful delivery attempts. In event of COD limit breach, your order will be cancelled and you will have to place a new order using Pre-payment options.
Further, the COD limit for any user may get decreased to Rs. 24,999, Rs.1500, Rs.0 basis on order rejection percentage and can be reset to Rs.49,999 basis on Order acceptance percentage and number of prepaid orders placed, post limit decrease.",https://www.myntra.com/faqs,Je! Chaguo la malipo la COD (pesa kwenye utoaji) linafanyaje kazi?,"Fedha ya Myntra kwenye chaguo la utoaji hukuruhusu kulipa thamani ya agizo wakati wa utoaji kwa maagizo yote kati ya Rupia.299 na Rupia.49999. Mipaka yako iliyopo itarekebishwa mara moja, kuna utoaji au agizo lililokataliwa dhidi ya akaunti yako, kutoka kwa mantiki mpya ya utekelezaji wa kikomo, ikiwa inahitajika.Ilipe Agizo lolote kwa kutumia Fedha kwenye Njia ya malipo (COD) ya malipo, tafadhali chagua chaguo la 'Fedha kwenye Utoaji' kwenye ukurasa wa malipo.Chaguo la Utoaji wa Fedha linapatikana tu katika pincode zilizochaguliwa.Lakini kikomo cha COD kinaweza kutofautiana kutoka kwa mteja hadi mteja kulingana na asilimia ya kukataliwa kwa agizo kutoka kwa kitambulisho cha barua pepe kilichosajiliwa.Kwa kuepusha mashaka, 'Asilimia ya Kukataa Asili' itamaanisha maagizo yoyote ambayo hayajarudishwa ambayo yamerejeshwa kutoka kwa anwani iliyotolewa na Mteja hata, baada ya majaribio matatu ya utoaji.Katika tukio la uvunjaji wa kikomo cha COD, agizo lako litafutwa na itabidi uweke agizo mpya kwa kutumia chaguzi za malipo ya mapema.
Zaidi ya hayo, kikomo cha COD kwa mtumiaji yeyote kinaweza kupungua hadi Rupia.24,999, Rs.1500, msingi wa Rs.0 kwa asilimia ya kukataliwa na inaweza kuwekwa tena kwa Rs.49,999 msingi wa asilimia ya kukubalika na idadi ya maagizo ya kulipia kabla, kupungua kwa kikomo.",Je! Chaguo la malipo la COD (doe kwenye utoaji) linafanyaje kazi?,"Fedha ya Myntra kwenye chaguo la utoaji hukuruhusu kulipa thamani ya agizo wakati wa utoaji kwa maagizo yote kati ya Rupia.299 na Rupia.49999. Mipaka yako iliyopo itarekebishwa mara moja, kuna utoaji au agizo lililokataliwa dhidi ya akaunti yako, kutoka kwa mantiki mpya ya utekelezaji wa kikomo, ikiwa inahitajika.Ilipe Agizo lolote kwa kutumia Fedha kwenye Njia ya malipo (COD) ya malipo, tafadhali chagua chaguo la 'Fedha kwenye Utoaji' kwenye ukurasa wa malipo.Chaguo la Utoaji wa Fedha linapatikana tu katika pincode zilizochaguliwa.Lakini kikomo cha COD kinaweza kutofautiana kutoka kwa mteja hadi mteja kulingana na asilimia ya kukataliwa kwa agizo kutoka kwa kitambulisho cha barua pepe kilichosajiliwa.Kwa kuepusha mashaka, 'Asilimia ya Kukataa Asili' itamaanisha maagizo yoyote ambayo hayajarudishwa ambayo yamerejeshwa kutoka kwa anwani iliyotolewa na Mteja hata, baada ya majaribio matatu ya utoaji.Katika tukio la uvunjaji wa kikomo cha COD, agizo lako litafutwa na itabidi uweke agizo mpya kwa kutumia chaguzi za malipo ya mapema.
Zaidi ya hayo, kikomo cha COD kwa mtumiaji yeyote kinaweza kupungua hadi Rupia.24,999, Rs.1500, msingi wa Rs.0 kwa asilimia ya kukataliwa na inaweza kuwekwa tena kwa Rs.49,999 msingi wa asilimia ya kukubalika na idadi ya maagizo ya kulipia kabla, kupungua kwa kikomo.",cod cash delivery payment option work,myntras cash delivery option allows pay order value time delivery order r 299 r 49999 existing limit revised delivery order rejected account new limit implementation logic requiredto pay order using cash delivery cod mode payment please select cash delivery option payment page cash delivery option available selected pincodeshowever cod limit may differ customer customer depending upon order rejection percentage particular customer registered email id avoidance doubt order rejection percentage shall mean undelivered order returned address provided customer even three successful delivery attempt event cod limit breach order cancelled place new order using prepayment option cod limit user may get decreased r 24999 rs1500 rs0 basis order rejection percentage reset rs49999 basis order acceptance percentage number prepaid order placed post limit decrease
"Does Myntra accept Rs. 2,000 currency notes for Cash on Delivery (COD) payments?","Effective September 20, 2023, we will no longer be able to accept Rs. 2,000 currency notes for Cash on Delivery (COD) orders, in compliance with the guidelines provided by the Reserve Bank of India on May 19, 2023.",https://www.myntra.com/faqs,"Je! Myntra anakubali Rupia.Vidokezo 2,000 vya Fedha kwa Fedha kwenye Malipo ya Utoaji (COD)?","Ufanisi wa Septemba 20, 2023, hatutaweza tena kukubali Rupia.Vidokezo vya sarafu 2,000 kwa Amri za Utoaji (COD), kwa kufuata miongozo iliyotolewa na Benki ya Hifadhi ya India mnamo Mei 19, 2023.","Je! Myntra anakubali Rupia.Vidokezo 2,000 vya Fedha kwa Fedha kwenye Malipo ya Utoaji (COD)?","Ufanisi wa Septemba 20, 2023, hatutaweza tena kukubali Rupia.Vidokezo vya sarafu 2,000 kwa Amri za Utoaji (COD), kwa kufuata miongozo iliyotolewa na Benki ya Hifadhi ya India mnamo Mei 19, 2023.",myntra accept r 2000 currency note cash delivery cod payment,effective september 20 2023 longer able accept r 2000 currency note cash delivery cod order compliance guideline provided reserve bank india may 19 2023
"I have placed a Cash on Delivery (COD) order and intended to pay with Rs. 2,000 notes, but the Delivery Associate is not accepting them. What should I do in this situation?","As per the RBI laid guidelines, Myntra is not accepting Rs. 2000 notes for COD, effective September 20, 2023.
Instead, you can choose a UPI method of payment or use alternate currency notes to make the payment.
In case you are unable to arrange for an alternate currency, please consider rescheduling your delivery. Request the Style Delivery agent to reattempt the delivery.",https://www.myntra.com/faqs,"Nimeweka pesa kwenye agizo la utoaji (COD) na nimekusudia kulipa na Rupia.Vidokezo 2,000, lakini mshirika wa kujifungua sio kukubali.Nifanye nini katika hali hii?","Kama ilivyo kwa miongozo ya RBI iliyowekwa, Myntra haikubali Rupia.Vidokezo 2000 vya COD, Septemba 20, 2023.
Badala yake, unaweza kuchagua njia ya malipo ya UPI au kutumia maelezo mbadala ya sarafu kufanya malipo.
Ikiwa hauwezi kupanga sarafu mbadala, tafadhali fikiria kurekebisha tena utoaji wako.Omba wakala wa uwasilishaji wa mtindo ili aachilie utoaji.","Nimeweka doe kwenye agizo la utoaji (COD) na nimekusudia kulipa na Rupia.Vidokezo 2,000, lakini mshirika wa kujifungua sio kukubali.Nifanye nini katika hali hii?","Kama ilivyo kwa miongozo ya RBI iliyowekwa, Myntra haikubali Rupia.Vidokezo 2000 vya COD, Septemba 20, 2023.
Badala yake, unaeza kuchagua njia ya malipo ya UPI au kutumia maelezo mbadala ya sarafu kufanya malipo.
Ikiwa hauwezi kupanga sarafu mbadala, tafadhali fikiria kurekebisha tena utoaji wako.Omba wakala wa uwasilishaji wa mtindo ili aachilie utoaji.",placed cash delivery cod order intended pay r 2000 note delivery associate accepting situation,per rbi laid guideline myntra accepting r 2000 note cod effective september 20 2023 instead choose upi method payment use alternate currency note make payment case unable arrange alternate currency please consider rescheduling delivery request style delivery agent reattempt delivery
Why can't I see the COD option on my payment page?,"If you do not see a COD option on your payment page, this may be due to one of the following reasons:
Your order value may be less than Rs. 299 or over Rs. 49,999.
You may have placed another order using the COD option which is pending delivery. If the amount of this order when added to your current order exceeds Rs. 49,999, then the COD option will be disabled temporarily.For all Tanishq products COD limit is Rs. 15,000",https://www.myntra.com/faqs,Kwa nini siwezi kuona chaguo la COD kwenye ukurasa wangu wa malipo?,"Ikiwa hautaona chaguo la COD kwenye ukurasa wako wa malipo, hii inaweza kuwa ni kwa sababu moja ifuatayo:
Thamani yako ya agizo inaweza kuwa chini ya Rupia.299 au zaidi ya Rupia.49,999.
Labda umeweka agizo lingine kwa kutumia chaguo la COD ambalo linasubiri utoaji.Ikiwa kiasi cha agizo hili linapoongezwa kwa agizo lako la sasa linazidi Rupia.49,999, basi chaguo la COD litalemazwa kwa muda mfupi.Kwa kikomo cha cod cha bidhaa za Tanishq ni Rupia.15,000",Kwa nini siwezi kuona chaguo la COD kwenye ukurasa wangu wa malipo?,"Ikiwa hautaona chaguo la COD kwenye ukurasa wako wa malipo, hii inaweza kuwa ni kwa sababu moja ifuatayo:
Thamani yako ya agizo inaweza kuwa chini ya Rupia.299 au zaidi ya Rupia.49,999.
Labda umeweka agizo lingine kwa kutumia chaguo la COD ambalo linasubiri utoaji.Ikiwa kiasi cha agizo hili linapoongezwa kwa agizo lako la sasa linazidi Rupia.49,999, basi chaguo la COD litalemazwa kwa muda mfupi.Kwa kikomo cha cod cha bidhaa za Tanishq ni Rupia.15,000",cant see cod option payment page,see cod option payment page may due one following reason order value may less r 299 r 49999 may placed another order using cod option pending delivery amount order added current order exceeds r 49999 cod option disabled temporarilyfor tanishq product cod limit r 15000
